Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Japanese Baseball: A Statistical Handbook,"This book—the first in the English language to contain an exhaustive collection of Japanese baseball data—presents basic statistical information and listings for every Japanese professional baseball season from 1936 through 1997. The first part contains yearly breakdowns of team standings; qualifiers for batting and earned run championships; leaders in home runs, runs batted in, wins and strikeouts; all-star game results; Japan Series results; Best Nine selections; Gold Glove selections; and award winners. Sections on career records and single-season records are provided in the second part of this work. Appendices list no-hit, no-run games, Japanese Hall of Famers, and records of foreign tours of Japan by professional teams.",['Daniel E. Johnson'],http://books.google.com/books/content?id=gg1eCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=gg1eCgAAQBAJ&printsec=frontcover&dq=Japanese+Baseball:+A+Statistical+Handbook&hl=&cd=1&source=gbs_api,McFarland,2015-08-13,https://play.google.com/store/books/details?id=gg1eCgAAQBAJ&source=gbs_api,['Sports & Recreation'],
I Take Thee Serenity,"Serenity Ross looks forward to a simple Quaker wedding, unaware that the preparations will change her love",['Daisy Newman'],http://books.google.com/books/content?id=zAfLra07zhEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=zAfLra07zhEC&q=I+Take+Thee+Serenity&dq=I+Take+Thee+Serenity&hl=&cd=1&source=gbs_api,Macmillan Reference USA,1994,http://books.google.com/books?id=zAfLra07zhEC&dq=I+Take+Thee+Serenity&hl=&source=gbs_api,['Fiction'],1.0
Child of Storm,"In the novel Child of Storm, H. Rider Haggard's most famous character, Allan Quatermain, continues to indulge his penchant for globe-trotting adventure in a tumultuous journey across Africa. Upon his arrival, he discovers that one of his closest friends has fallen head over heels in love with one of the most beautiful -- and dangerous -- women in the world, and he will stop at nothing to win this accused witch's affection. Will Quatermain be able to intervene before it's too late -- or will he succumb to the vixen's charms, as well?",['H. Rider Haggard'],http://books.google.com/books/content?id=_o0M2JF1608C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=_o0M2JF1608C&printsec=frontcover&dq=Child+of+Storm&hl=&cd=1&source=gbs_api,The Floating Press,2012-01-01,https://play.google.com/store/books/details?id=_o0M2JF1608C&source=gbs_api,['Fiction'],
"Familias Exitosas/ Successful Families: Evaluacion, Tratamiento E Intervencion/ Assessment and Intervention (Terapia Familiar/ Family Therapy) (Spanish Edition)",,,,,,,,,
Cosmopolis: the Hidden Agenda of Modernity,"In the seventeenth century, a vision arose which was to captivate the Western imagination for the next three hundred years: the vision of Cosmopolis, a society as rationally ordered as the Newtonian view of nature. While fueling extraordinary advances in all fields of human endeavor, this vision perpetuated a hidden yet persistent agenda: the delusion that human nature and society could be fitted into precise and manageable rational categories. Stephen Toulmin confronts that agenda—its illusions and its consequences for our present and future world. ""By showing how different the last three centuries would have been if Montaigne, rather than Descartes, had been taken as a starting point, Toulmin helps destroy the illusion that the Cartesian quest for certainty is intrinsic to the nature of science or philosophy.""—Richard M. Rorty, University of Virginia ""[Toulmin] has now tackled perhaps his most ambitious theme of all. . . . His aim is nothing less than to lay before us an account of both the origins and the prospects of our distinctively modern world. By charting the evolution of modernity, he hopes to show us what intellectual posture we ought to adopt as we confront the coming millennium.""—Quentin Skinner, New York Review of Books","['Stephen Toulmin', 'Stephen Edelston Toulmin']",http://books.google.com/books/content?id=6bYgQ26xGXMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=6bYgQ26xGXMC&printsec=frontcover&dq=Cosmopolis:+the+Hidden+Agenda+of+Modernity&hl=&cd=1&source=gbs_api,University of Chicago Press,1992-11,http://books.google.com/books?id=6bYgQ26xGXMC&dq=Cosmopolis:+the+Hidden+Agenda+of+Modernity&hl=&source=gbs_api,['History'],1.0
Across the River and Into the Trees - Jonathan Cape Publishers - 1950 - True First Edition,"In the fall of 1948, Ernest Hemingway made his first extended visit to Italy in thirty years. His reacquaintance with Venice, a city he loved, provided the inspiration for Across the River and into the Trees, the story of Richard Cantwell, a war-ravaged American colonel stationed in Italy at the close of the Second World War, and his love for a young Italian countess. A poignant, bittersweet homage to love that overpowers reason, to the resilience of the human spirit, and to the worldweary beauty and majesty of Venice, Across the River and into the Trees stands as Hemingway's statement of defiance in response to the great dehumanizing atrocities of the Second World War. Hemingway's last full-length novel published in his lifetime, it moved John O'Hara in The New York Times Book Review to call him ""the most important author since Shakespeare.""",['Ernest Hemingway'],http://books.google.com/books/content?id=TY8BgIdcUAwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=TY8BgIdcUAwC&printsec=frontcover&dq=Across+the+River+and+Into+the+Trees+-+Jonathan+Cape+Publishers+-+1950+-+True+First+Edition&hl=&cd=1&source=gbs_api,Simon and Schuster,2002-07-25,https://play.google.com/store/books/details?id=TY8BgIdcUAwC&source=gbs_api,['Fiction'],15.0
"Bury My Heart In Birmingham, the Lamar Weaver Story: Warriors Of The Civil Rights Movement","This book is about the courage and dedication of many unsung heroes of the early Civil Rights Movement. It is a book that tells the story of how one White man had the courage of his convictions to fight for the rights of Blacks in Birmingham, Alabama and through out the South. It is the story of how an ordinary White man with extraordinary courage joined ordinary Blacks to fight together to end injustice and bigotry in the South. It is a book of how he narrowly survived numerous attempts on his life, while the Ku Klux Klan pursued him all over the South.","['Lamar Weaver', 'Rueben Jackson']",http://books.google.com/books/content?id=GlsuBhMK2pwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=GlsuBhMK2pwC&printsec=frontcover&dq=Bury+My+Heart+In+Birmingham,+the+Lamar+Weaver+Story:+Warriors+Of+The+Civil+Rights+Movement&hl=&cd=1&source=gbs_api",iUniverse,2001-06-01,"http://books.google.com/books?id=GlsuBhMK2pwC&dq=Bury+My+Heart+In+Birmingham,+the+Lamar+Weaver+Story:+Warriors+Of+The+Civil+Rights+Movement&hl=&source=gbs_api",['Biography & Autobiography'],
The psychology of Biblical interpretation,,['Cedric B. Johnson'],http://books.google.com/books/content?id=G7LYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=G7LYAAAAMAAJ&dq=The+psychology+of+Biblical+interpretation&hl=&cd=1&source=gbs_api,,1983,http://books.google.nl/books?id=G7LYAAAAMAAJ&dq=The+psychology+of+Biblical+interpretation&hl=&source=gbs_api,['Bible'],
How to Read Music: Fundamentals of Music Notation Made Easy,"Discarding musical jargon, Evans explains how notes are named, how they are written, and how to read a melody, discusses lesser-known musical signs and words, and provides a handy dictionary of terms",['Roger Evans'],http://books.google.com/books/content?id=fEoxAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=fEoxAAAACAAJ&dq=How+to+Read+Music:+Fundamentals+of+Music+Notation+Made+Easy&hl=&cd=1&source=gbs_api,Three Rivers Press,1995,http://books.google.com/books?id=fEoxAAAACAAJ&dq=How+to+Read+Music:+Fundamentals+of+Music+Notation+Made+Easy&hl=&source=gbs_api,['Music'],1.0
Pulled Thread and Florentine Embroidery Patterns,,['Jane D. Zimmerman'],,http://books.google.com/books?id=isvEHAAACAAJ&dq=Pulled+Thread+and+Florentine+Embroidery+Patterns&hl=&cd=1&source=gbs_api,,1976,http://books.google.com/books?id=isvEHAAACAAJ&dq=Pulled+Thread+and+Florentine+Embroidery+Patterns&hl=&source=gbs_api,['Embroidery'],
