Id,Title,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text
9687968486,Tu Beb: desde la Concepcin hasta los 12 meses (Spanish Edition),,,,3/3,5.0,1055721600,A VERY COMPLETE AND COMPREHENDING BOOK,"for pregnant mothers !It covers all, solve all doubts and is full of useful tips!"
9687968486,Tu Beb: desde la Concepcin hasta los 12 meses (Spanish Edition),,,,2/2,5.0,1059955200,UN VERDADERO LIBRO DE CABECERA,"PARA LOS PADRES QUE ESPERAN UN BEBE, AUNQUE SEA EL TERCERO O EL CUARTO...Las orientaciones son espl&egrave;ndidas, llenas de conocimiento y sentido comun... y no terminan con el parto ni comienzan con el primjer mes de embarazo...LO ABARCAN TODO, COMO LO DICE SU TITULO !EXCELENTE! NO TE LO PIERDAS!"
9687968486,Tu Beb: desde la Concepcin hasta los 12 meses (Spanish Edition),,AO7DN25S98Y1M,Jan Taylor Brooks,2/2,5.0,1057017600,"El libro mas completo que existe para nosotras,","las m,ujeres embarazadas o por embarazarnos...LO ABARCA TODO, DESDE LA CONCEPCION HASTA QUE EL BEBE CUMPLE UN A&Ntilde;O...Dulce, sabio y ameno..."
9687968486,Tu Beb: desde la Concepcin hasta los 12 meses (Spanish Edition),,A3FDNLZDVP0ULK,"Rosalia ""Rosi""",1/1,5.0,1095033600,"When I found out I was pregnant, I felt both","joyful and scared by my absolute ignorance on the matter...This book is so complete, that I lost my fear, kept my joy and never needed another one!"
9687968486,Tu Beb: desde la Concepcin hasta los 12 meses (Spanish Edition),,A2SZGIUKIIVDMS,Jennifer Jhonson,0/0,5.0,1128988800,UN VERDADERO LIBRO DE CABECERA,"Los primeros meses de embarazo son las m&aacute;s importantes, ya que es cuando es la gestaci&oacute;n del bebe... Aqu&iacute; encontrar&aacute;s toda clase de dudas respecto al embarazo. TE SERA DE UTILIDAD!"
9687968486,Tu Beb: desde la Concepcin hasta los 12 meses (Spanish Edition),,,,0/0,5.0,1060560000,"UTILISIMO, MODERNO",PLENO DE INFORMACION COMP&Agrave;CTA...UNLIBRO HONESTO QUE CUBRE DESDE LA CONCEPCION HASTA EL A&Ntilde;O DE EDAD DEL BEBE SIN HACERNOS GASTAR EN VARIOS LIBROS !FAAABULOSO !
1564966763,Making Journals by Hand: 20 Creative Projects for Keeping Your Thoughts,,AGKWP56SDO4NW,Ann,44/44,5.0,1060473600,Creative and Inspiring,"I loved this book, but when I got &quot;Making Memory Books and Journals by Hand&quot; I was surprised to find &quot;Making Journals by Hand&quot; is actually included in that text in full: word for word, page for page, project for project .Instead of buying &quot;Making Journals by Hand&quot; and &quot;Making Memory Boxes&quot;, save some money and buy one book: &quot;Making Memory Books and Journals by Hand&quot;. This book combines all of the projects above and then some.All of these books have great projects and instructions."
1564966763,Making Journals by Hand: 20 Creative Projects for Keeping Your Thoughts,,A1BXLY77IJIR4I,"Angel Lee ""Liocorno Amethyst Moonstone""",34/34,5.0,988588800,Fresh &amp; Creative ideas for decorating journals,"Do you have tons of unadorned journals that you have made? Have you ever wondered what to put in them? If so, this is the book for you. It is packed with fresh ideas for decorating all those blank journals.The book starts out teaching the basics of creating books. This includes making a spiral bound book, and rebinding a store-bought journal or vintage book. The instruction here tends to be a bit incomplete for a true beginner. If you want to make a journal from scratch, buying a true bookbinding book is highly recommended.There are great ideas on variety of journal styles including daily, travel, recipe, garden, artists' sketchbook and triptychs. Each one has a different and easy-to-create binding. The instructions are step-by-step and accompanied by photos.Where this book really excels is in turning your book into an artistic masterpiece. There are lots of creative project ideas and techniques that I have not seen used in this way before. Some include wax resist, image transfer, plaster paper, emulsion lifts, and creating carved stamps.The examples though the book and in the gallery are stunning. The resource and book list is very helpful. It's nice that it also includes a list with email address of all the artists in the book. If you want to turn you journal into a true work of art, this is the book to get."
1564966763,Making Journals by Hand: 20 Creative Projects for Keeping Your Thoughts,,A4EGM0J18600E,C. Miller,30/30,5.0,970531200,Making Journals By Hand,"Making Journals By Hand by Jason Thompson - 125 pages, over-size paperback Published by Rockport PublishersFrom the publishers of Making Memory Books by Hand also comes this wonderful book - Making Journals by Hand - which enables you to leap tall mental buildings in a single bound and become SUPER-CREATIVE &amp; ARTISTIC PERSON!!! I'm not exaggerating (at least, I don't think I am). Lists of supplies needed and suppliers, detailed instruction for creating journals from scratch or for reusing old hardback books or spiral notebooks, lots of photos of fascinating and unusual journals, reasons to keep your own as well as theme ideas (recipe, travel, garden, and nature to name a few), curious ways to fill them (Remember the wax resist technique from grade school? It's in here, simple to use with wonderful results.) that are not complicated, how to choose lasting supplies and care for the finished product (Did you know newspaper clippings will cause acid free paper to degrade over time? See page 11.) a constant flow of tips and `jump starters' and . . . well, it made me want to start a journal just for the journal ideas I was getting while looking through and reading the book! Good, good book."
1564966763,Making Journals by Hand: 20 Creative Projects for Keeping Your Thoughts,,A23ZJHGT021UWT,A Reader,18/18,5.0,966384000,Way Cool Ideas!,"A beautiful book. I love everything about it: crisp photography, nice paper, great ideas, an abundance of inspiring bon mots, lots of resources listed at the back of the book. After flipping through its pages, I wanted to jump off the sofa and begin journaling! But I didn't. I felt a little overwhelmed by the creative journal pages I saw. I just don't know where people get some of their amazing ideas. I wish my mind were half as fertile as those whose works are featured in the pages of &quot;Making Journals by Hand.&quot; I will, however, continue enjoying the visual feast between its covers and hope for a divine intervention that will get me off the sofa and into the craft room to create a fabulous rememberance, just as the featured artists have done. If you like books, paper, art, rubber stamping, writing, color, cool ideas, and peeking into other people's journals, buy this book."
